event_id,user_id,date,game_id,login_count,play_minutes,pvp_wins,coop_minutes,topup_try
E-1,U1,2026-03-08,G3,1,68,1,20,0
E-2,U1,2026-03-09,G1,1,48,4,3,0
E-3,U1,2026-03-10,G4,1,179,0,116,100
E-4,U1,2026-03-11,G1,1,84,0,2,50
E-5,U1,2026-03-12,G4,1,137,0,30,0
E-6,U2,2026-03-08,G1,1,138,0,18,0
E-7,U2,2026-03-09,G2,1,87,2,20,100
E-8,U2,2026-03-10,G4,1,45,2,74,50
E-9,U2,2026-03-11,G4,1,42,0,5,100
E-10,U2,2026-03-12,G3,1,64,1,13,0
E-11,U3,2026-03-08,G4,1,60,2,39,100
E-12,U3,2026-03-09,G4,1,76,0,74,100
E-13,U3,2026-03-10,G1,1,78,2,3,100
E-14,U3,2026-03-11,G1,1,46,4,1,100
E-15,U3,2026-03-12,G4,1,82,1,87,100
E-16,U4,2026-03-08,G2,1,110,1,18,50
E-17,U4,2026-03-09,G4,1,122,1,31,0
E-18,U4,2026-03-10,G2,1,92,0,18,0
E-19,U4,2026-03-11,G2,1,164,1,10,150
E-20,U4,2026-03-12,G2,1,144,1,19,0
E-21,U5,2026-03-08,G3,1,161,1,5,0
E-22,U5,2026-03-09,G4,1,68,1,53,0
E-23,U5,2026-03-10,G1,1,49,4,18,0
E-24,U5,2026-03-11,G3,1,117,2,11,100
E-25,U5,2026-03-12,G1,1,157,4,14,0

